date,year,week,id_project,project_name,start_price,end_price,performance,rank
2023-08-05,2023,31,16688,Stargate Finance,0.620695,0.631606,0.017578681961349783,33.0
2023-08-05,2023,31,345,Binance Coin,242.68,240.52,-0.008900609856601271,34.0
2023-08-05,2023,31,4927,Tokamak Network,1.5,1.47,-0.020000000000000018,35.0
2023-08-05,2023,31,9500,Casper Network,0.0395446,0.0385632,-0.024817547781492297,36.0
2023-08-05,2023,31,8668,Pendle,0.699491,0.696234,-0.004656242896620477,37.0
2023-08-05,2023,31,5792,DeXe,2.2,2.21,0.004545454545454448,38.0
2023-08-05,2023,31,769,Cosmos,8.5,8.39,-0.012941176470588168,39.0
2023-08-05,2023,31,1105,Telcoin,0.00133574,0.00127026,-0.04902151616332514,40.0
2023-08-05,2023,31,984,TRON,0.077178,0.077353,0.002267485552877873,41.0
2023-08-05,2023,31,1033,Steem,0.185921,0.184893,-0.005529230156894601,42.0
2023-08-05,2023,31,998,Dogecoin,0.075624,0.076614,0.013091082196128277,43.0
2023-08-05,2023,31,6583,Staked Ether,1832.23,1845.96,0.0074936006942359955,44.0
2023-08-05,2023,31,8224,Pundi X,0.385967,0.389378,0.008837543106016829,45.0
2023-08-05,2023,31,1036,Polygon,0.662995,0.6801,0.025799591248802836,46.0
2023-08-05,2023,31,672,Chiliz,0.076223,0.075936,-0.0037652677013499283,47.0
2023-08-05,2023,31,5083,Shiba Inu,1.004e-05,1.07e-05,0.06573705179282856,48.0
2023-08-05,2023,31,4469,Render Token,1.62,1.67,0.030864197530864085,49.0
2023-08-05,2023,31,5437,Gala,0.0235236,0.0228766,-0.027504293560509374,50.0
2023-08-05,2023,31,10321,WOO Network,0.171529,0.19067,0.11159045992222902,51.0
2023-08-05,2023,31,4340,Compound,57.32,55.07,-0.0392533147243545,52.0
2023-08-05,2023,31,5920,Injective Protocol,7.89,7.66,-0.029150823827629853,53.0
2023-08-05,2023,31,1097,Metal,1.41,1.3,-0.07801418439716304,54.0
2023-08-05,2023,31,3748,BTSE Token,1.1,1.1,0.0,55.0
2023-08-05,2023,31,18126,Optimism,1.67,1.55,-0.07185628742514963,56.0
2023-08-05,2023,31,1169,STP Network,0.0443878,0.0470667,0.060352168839185656,57.0
2023-08-05,2023,31,11258,Magic,0.719906,0.760576,0.0564934866496459,58.0
2023-08-05,2023,31,1147,Storm,0.00688872,0.0067758,-0.016392014771975036,59.0
2023-08-05,2023,31,1052,Golem,0.214082,0.209897,-0.01954858418736743,60.0
2023-08-05,2023,31,947,DigiByte,0.00785521,0.00785797,0.0003513591616266091,61.0
2023-08-05,2023,31,15732,Ronin,0.682927,0.694352,0.01672946010334929,62.0
2023-08-05,2023,31,282,Band Protocol,1.19,1.17,-0.016806722689075647,63.0
2023-08-05,2023,31,715,CoinEx Token,0.0318642,0.0328311,0.03034439904344059,64.0
2023-08-05,2023,31,659,ChainLink,7.18,7.4,0.03064066852367697,65.0
2023-08-05,2023,31,8283,MiL.k Alliance,0.327026,0.321047,-0.0182829499795122,66.0
2023-08-05,2023,31,512,Blockstack,0.575725,0.586093,0.018008597854878513,67.0
2023-08-05,2023,31,10717,dYdX,2.05,2.22,0.08292682926829287,68.0
2023-08-05,2023,31,983,Stellar,0.137411,0.136998,-0.0030055817947616764,69.0
2023-08-05,2023,31,6035,Conflux Token,0.17722,0.178542,0.007459654666516294,70.0
2023-08-05,2023,31,1121,Ocean Protocol,0.338387,0.338755,0.0010875122271245038,71.0
2023-08-05,2023,31,1069,Hedera Hashgraph,0.052363,0.056356,0.07625613505719694,72.0
2023-08-05,2023,31,4691,Elrond,30.92,30.4,-0.016817593790427007,73.0
2023-08-05,2023,31,5425,Linear,0.013779,0.0144342,0.047550620509470926,74.0
2023-08-05,2023,31,3288,Filecoin,4.09,4.11,0.004889975550122362,75.0
2023-08-05,2023,31,1046,RIF Token,0.077308,0.075863,-0.01869146789465517,76.0
2023-08-05,2023,31,1009,OMG Network,0.549231,0.566804,0.03199564481975699,77.0
2023-08-05,2023,31,3752,Cartesi,0.140283,0.150033,0.0695023630803448,78.0
2023-08-05,2023,31,9792,Osmosis,0.458332,0.455981,-0.005129469467547524,79.0
2023-08-05,2023,31,2792,f(x) Coin,0.144216,0.145504,0.008931047872635376,80.0
2023-08-05,2023,31,648,Celer Network,0.0139353,0.0141999,0.01898775053281955,81.0
2023-08-05,2023,31,986,Monero,158.52,157.43,-0.00687610396164524,82.0
2023-08-05,2023,31,881,Dash,30.83,32.14,0.042491080116769456,83.0
2023-08-05,2023,31,10879,Lido Staked SOL,25.29,27.78,0.09845788849347577,84.0
2023-08-05,2023,31,1281,OriginTrail,0.256466,0.235896,-0.08020556331053641,85.0
2023-08-05,2023,31,8849,Convex Finance,3.18,3.09,-0.028301886792452925,86.0
2023-08-05,2023,31,1025,Siacoin,0.00386101,0.00350858,-0.09127922486603245,87.0
2023-08-05,2023,31,5719,Alpha Finance,0.100777,0.10316,0.02364626849380311,88.0
2023-08-05,2023,31,1011,Theta Network,0.743194,0.73309,-0.013595373482563101,89.0
2023-08-05,2023,31,994,VeChain,0.0177884,0.0178585,0.00394077038969216,90.0
2023-08-05,2023,31,4692,Sushi,0.67615,0.741304,0.09636027508688891,91.0
2023-08-05,2023,31,10540,BitDAO,0.516752,0.472249,-0.08612061491779426,92.0
2023-08-05,2023,31,4341,Balancer,4.22,4.23,0.002369668246445658,93.0
2023-08-05,2023,31,309,Beldex,0.0391407,0.0370571,-0.0532335906102854,94.0
2023-08-05,2023,31,1041,Status,0.0253199,0.0255868,0.010541115881184384,95.0
2023-08-05,2023,31,291,Basic Attention Token,0.207091,0.215976,0.042903844203755856,96.0
2023-08-05,2023,31,1015,Gatechain Token,4.13,4.08,-0.012106537530266302,97.0
2023-08-05,2023,31,3127,Everipedia,0.00547147,0.00533191,-0.02550685647549934,98.0
2023-08-05,2023,31,996,Maker,1235.53,1226.22,-0.007535227796977771,99.0
2023-08-05,2023,31,3756,JUST,0.023738,0.0227375,-0.042147611424719775,100.0
2023-08-12,2023,32,988,OKB,48.15,43.14,-0.10404984423676009,1.0
2023-08-12,2023,32,7426,Mask Network,3.48,2.73,-0.21551724137931036,2.0
2023-08-12,2023,32,11675,Bone ShibaSwap,1.65,1.15,-0.30303030303030304,3.0
2023-08-12,2023,32,114,aelf,0.292928,0.2805,-0.042426807952807497,4.0
2023-08-12,2023,32,204,Aragon,4.19,4.39,0.04773269689737453,5.0
2023-08-12,2023,32,4702,Wrapped NXM,31.04,29.26,-0.05734536082474219,6.0
2023-08-12,2023,32,12260,Gains Network,4.82,3.89,-0.19294605809128632,7.0
2023-08-12,2023,32,3844,Trust Wallet Token,0.903887,0.869436,-0.03811427755903117,8.0
2023-08-12,2023,32,1059,iExec RLC,1.26,1.049,-0.16746031746031753,9.0
2023-08-12,2023,32,16688,Stargate Finance,0.631606,0.549887,-0.12938287476686414,10.0
2023-08-12,2023,32,13100,SSV Network,17.52,14.8,-0.15525114155251135,11.0
2023-08-12,2023,32,10735,GMX,46.45,38.18,-0.17804090419806248,12.0
2023-08-12,2023,32,8840,Chia,30.81,29.24,-0.05095748133722818,13.0
2023-08-12,2023,32,4557,LUKSO Token,7.43,6.6,-0.11170928667563931,14.0
2023-08-12,2023,32,979,XRP,0.626367,0.516414,-0.17554085703748756,15.0
2023-08-12,2023,32,3945,Energy Web Token,2.44,2.41,-0.012295081967213035,16.0
2023-08-12,2023,32,3213,XinFin,0.064401,0.055916,-0.1317526125370724,17.0
2023-08-12,2023,32,8062,Liquity,0.962667,0.822332,-0.14577730409373135,18.0
2023-08-12,2023,32,1040,Quant,101.71,100.11,-0.015730999901681194,19.0
2023-08-12,2023,32,16837,USDD,0.998134,0.996863,-0.0012733761198395316,20.0
2023-08-12,2023,32,1094,Fetch.ai,0.199704,0.211935,0.061245643552457735,21.0
2023-08-12,2023,32,1054,Numeraire,12.76,11.32,-0.11285266457680247,22.0
2023-08-12,2023,32,10910,Baby Doge Coin,1.179e-09,1.133e-09,-0.03901611535199326,23.0
2023-08-12,2023,32,3720,Rocket Pool,27.39,25.09,-0.08397225264695146,24.0
2023-08-12,2023,32,987,LEO Token,3.98,3.92,-0.015075376884422124,25.0
2023-08-12,2023,32,9500,Casper Network,0.0385632,0.0361366,-0.06292527591071283,26.0
2023-08-12,2023,32,2696,MX Token,2.77,2.68,-0.032490974729241826,27.0
2023-08-12,2023,32,981,Litecoin,83.39,63.79,-0.23504017268257588,28.0
2023-08-12,2023,32,5395,Uniswap,6.17,4.89,-0.20745542949756893,29.0
2023-08-12,2023,32,7173,SafePal,0.455969,0.412634,-0.09503935574567572,30.0
2023-08-12,2023,32,10418,The Open Network,1.35,1.34,-0.007407407407407414,31.0
2023-08-12,2023,32,13226,Biconomy,0.251881,0.220247,-0.1255910529178462,32.0
2023-08-12,2023,32,6790,Escoin Token,2.84,2.75,-0.03169014084507037,33.0
2023-08-12,2023,32,4469,Render Token,1.67,1.4,-0.16167664670658685,34.0
2023-08-12,2023,32,1039,TomoChain,1.49,1.58,0.06040268456375844,35.0
2023-08-12,2023,32,1115,Tokenize Xchange,5.62,4.99,-0.11209964412811385,36.0
2023-08-12,2023,32,1101,SingularityNET,0.20584,0.181619,-0.11766906335017487,37.0
2023-08-12,2023,32,6298,API3,1.21,0.973832,-0.19518016528925614,38.0
2023-08-12,2023,32,345,Binance Coin,240.52,216.39,-0.10032429735572934,39.0
2023-08-12,2023,32,5792,DeXe,2.21,2.19,-0.009049773755656116,40.0
2023-08-12,2023,32,5083,Shiba Inu,1.07e-05,8.38e-06,-0.21682242990654205,41.0
2023-08-12,2023,32,1105,Telcoin,0.00127026,0.00111273,-0.12401398138963686,42.0
2023-08-12,2023,32,10321,WOO Network,0.19067,0.1726,-0.09477107043583155,43.0
2023-08-12,2023,32,4927,Tokamak Network,1.47,1.29,-0.12244897959183669,44.0
2023-08-12,2023,32,8849,Convex Finance,3.09,2.89,-0.06472491909385104,45.0
2023-08-12,2023,32,9427,Centrifuge,0.29538,0.24992,-0.1539034464080167,46.0
2023-08-12,2023,32,3748,BTSE Token,1.1,1.049,-0.0463636363636365,47.0
2023-08-12,2023,32,769,Cosmos,8.39,7.63,-0.09058402860548279,48.0
2023-08-12,2023,32,984,TRON,0.077353,0.073953,-0.04395433919822114,49.0
2023-08-12,2023,32,8668,Pendle,0.696234,0.546756,-0.21469505941967787,50.0
2023-08-12,2023,32,1097,Metal,1.3,1.13,-0.1307692307692309,51.0
2023-08-12,2023,32,1033,Steem,0.184893,0.160205,-0.13352587712893413,52.0
2023-08-12,2023,32,998,Dogecoin,0.076614,0.063457,-0.17173101521915057,53.0
2023-08-12,2023,32,5920,Injective Protocol,7.66,7.77,0.014360313315926819,54.0
2023-08-12,2023,32,6583,Staked Ether,1845.96,1671.23,-0.09465535547899197,55.0
2023-08-12,2023,32,2792,f(x) Coin,0.145504,0.128436,-0.11730261711018254,56.0
2023-08-12,2023,32,8224,Pundi X,0.389378,0.340437,-0.12569020334995817,57.0
2023-08-12,2023,32,5437,Gala,0.0228766,0.0199736,-0.12689822788351413,58.0
2023-08-12,2023,32,1036,Polygon,0.6801,0.574214,-0.1556918100279371,59.0
2023-08-12,2023,32,11258,Magic,0.760576,0.607511,-0.20124879039044094,60.0
2023-08-12,2023,32,1052,Golem,0.209897,0.170518,-0.18761106638017694,61.0
2023-08-12,2023,32,282,Band Protocol,1.17,1.027,-0.12222222222222225,62.0
2023-08-12,2023,32,5425,Linear,0.0144342,0.0117413,-0.18656385528813513,63.0
2023-08-12,2023,32,18126,Optimism,1.55,1.47,-0.05161290322580649,64.0
2023-08-12,2023,32,672,Chiliz,0.075936,0.064223,-0.15424831436999578,65.0
2023-08-12,2023,32,1046,RIF Token,0.075863,0.066387,-0.12490937611220224,66.0
2023-08-12,2023,32,10540,BitDAO,0.472249,0.427138,-0.09552375971150803,67.0
2023-08-12,2023,32,947,DigiByte,0.00785797,0.00690134,-0.12174009317928178,68.0
2023-08-12,2023,32,15732,Ronin,0.694352,0.596239,-0.14130153005968155,69.0
